,Region,AgeBand,Received,Received,Received,Received,Received,Received,Received,Reg.No,Reg.No,Reg.No,Reg.No,Reg.No,Reg.No,Reg.No
Month,,,1,2,3,4,5,6,7,1,2,3,4,5,6,7
0,Indore,Check,201675.0,132192.0,,,,,,70.0,71.0,,,,,
1,Indore,Elder 40-80,,,,150.0,,,,,,,1.0,,,
2,Indore,Kids <=12,,,,150.0,,,,,,,1.0,,,
3,Indore,Mid 26-40,,,,150.0,,,,,,,1.0,,,
4,North,Check,8588606.0,9901266.0,10393382.0,,,,,1383.0,1396.0,1472.0,,,,
5,North,Elder 40-80,,,,5737604.0,5857369.0,6019315.0,4910143.0,,,,638.0,624.0,565.0,549.0
6,North,Kids <=12,,,,491457.0,633896.0,624592.0,880895.0,,,,149.0,133.0,174.0,170.0
7,North,Mid 26-40,,,,3114423.0,2246993.0,2629182.0,3130599.0,,,,434.0,453.0,418.0,418.0
8,North,Old >=81,,,,261350.0,213553.0,431835.0,147587.0,,,,37.0,38.0,40.0,26.0
9,North,Youth 13-25,,,,1314264.0,1254116.0,1681497.0,1722331.0,,,,233.0,225.0,253.0,245.0
10,Punjab,Check,917861.0,1009315.0,677830.0,,,,,185.0,183.0,183.0,,,,
11,Punjab,Elder 40-80,,,,326280.0,229645.0,191375.0,76855.0,,,,64.0,68.0,59.0,28.0
12,Punjab,Kids <=12,,,,60025.0,31075.0,33040.0,12480.0,,,,23.0,15.0,9.0,6.0
13,Punjab,Mid 26-40,,,,234492.0,141760.0,183090.0,56425.0,,,,35.0,37.0,44.0,20.0
14,Punjab,Old >=81,,,,19650.0,1825.0,2500.0,,,,,1.0,1.0,2.0,
15,Punjab,Youth 13-25,,,,118930.0,73025.0,60730.0,46775.0,,,,33.0,19.0,28.0,13.0
16,South,Check,11819911.0,12101725.0,14588507.0,,,,,2503.0,2456.0,2578.0,,,,
17,South,Elder 40-80,,,,6116014.0,5856409.0,6332448.0,6111826.0,,,,784.0,850.0,834.0,886.0
18,South,Kids <=12,,,,1423835.0,1025186.0,1235917.0,1467331.0,,,,412.0,378.0,445.0,497.0
19,South,Mid 26-40,,,,4993348.0,4644968.0,5124612.0,6196922.0,,,,924.0,954.0,907.0,1087.0
20,South,Old >=81,,,,46700.0,35750.0,125840.0,86160.0,,,,12.0,8.0,14.0,11.0
21,South,Youth 13-25,,,,1510414.0,1331232.0,1679476.0,1871269.0,,,,347.0,359.0,360.0,407.0
